Rank,Team,Name,Position,Games,ADP,Bye,SOS,InjuryRisk,Floor Proj,Consensus Proj,DS Proj,CeilingProj,Value
521,WAS,Noah Brown,WR,17,39.07,12,-3%,0%,57.3,66,72,153.2,-16.5
522,IND,JT Tuimoloau,DL,17,,11,12%,0%,40.4,,50,90.8,-16.5
523,BUF,Cole Bishop,DB,17,,7,-76%,0%,39,50,78,116.9,-16.6
524,NE,Andres Borregales,K,17,39.08,14,4%,0%,123,115,131,164.9,-16.6
525,HOU,Cade Stover,TE,17,42.06,6,-7%,21%,30.1,27,46,122.5,-16.8
526,BAL,Odafe Oweh,DL,17,,7,-81%,0%,46.9,56,55,74.5,-16.8
527,PIT,Aaron Rodgers,QB,17,14.05,5,-19%,36%,240.1,231,250,320.2,-16.9
528,DEN,Troy Franklin,WR,17,28.06,12,-5%,23%,60.9,58,75,145.8,-17.1
529,LAR,Jordan Whittington,WR,17,27.01,8,5%,0%,57.8,60,74,149,-17.1
530,SEA,Uchenna Nwosu,DL,17,,8,36%,18%,43.9,78,56,73.1,-17.1
531,TEN,Arden Key,DL,17,,10,86%,0%,45,43,55,73.6,-17.2
532,GB,Luke Musgrave,TE,17,33.12,5,6%,32%,28.7,32,38,129.3,-17.5
533,BUF,Ed Oliver,DL,17,,7,-76%,0%,37,60,48,91.2,-17.6
534,PIT,Derrick Harmon,DL,16,,5,1%,0%,42.6,,53,90.5,-17.7
535,TEN,Joey Slye,K,17,34.05,10,-2%,0%,122.4,126,128,159.4,-17.7
536,DET,Alex Anzalone,LB,17,,8,-62%,0%,81.4,117,96,124.4,-17.8
537,NE,Mack Hollins,WR,17,37.1,14,-3%,12%,70,31,80,139.2,-17.9
538,BUF,Damar Hamlin,DB,17,,7,-76%,0%,19.9,57,80,119.4,-17.9
539,KC,Drue Tranquill,LB,17,,10,-29%,0%,77.5,108,95,127.6,-18.1
540,GB,Emanuel Wilson,RB,17,30.05,5,-1%,0%,34.9,43,48,83.6,-18.3
541,TB,Sean Tucker,RB,17,29.04,9,-14%,0%,26.5,36,44,101.7,-18.3
542,TB,Vita Vea,DL,17,,9,-20%,0%,45.1,3,56,67.7,-18.3
543,SEA,Marquez Valdes-Scantling,WR,17,28.08,8,0%,38%,63.7,65,76,125.1,-18.4
544,ARI,Walter Nolen,DL,17,,8,-14%,0%,37,,49,86.4,-18.5
545,PHI,A.J. Dillon,RB,17,24.12,9,-25%,34%,16.3,36,41,101.6,-18.7
546,JAC,Eric Murray,DB,17,,8,1%,0%,53.9,,77,100.1,-18.7
547,BUF,Dawson Knox,TE,17,40.12,7,-9%,64%,36.5,39,41,101.6,-18.8
548,GB,Lukas Van Ness,DL,17,,5,-39%,0%,40.4,52,50,80.8,-18.9
549,UNS,Gerald Everett,TE,17,68.1,18,-,38%,34.1,22,43,106.7,-19
550,ARI,Emari Demercado,RB,17,46.02,8,10%,18%,38.4,37,48,74.3,-19.1
551,PIT,Roman Wilson,WR,17,25.05,5,-7%,27%,57,42,76,138.3,-19.2
552,BUF,Curtis Samuel,WR,17,26.08,7,5%,83%,58,58,75,126.5,-19.3
553,MIA,Malik Washington,WR,17,39.01,12,-4%,0%,56.5,50,72,141.9,-19.3
554,NO,Brandin Cooks,WR,17,26.03,11,1%,34%,55,69,71,127,-19.5
555,CHI,Gervon Dexter,DL,17,,5,21%,0%,45.6,,54,66.3,-19.5
556,DEN,Audric Estime,RB,17,26.04,12,-1%,21%,24.4,32,38,99.6,-19.6
557,WAS,Ben Sinnott,TE,17,27.07,12,-10%,0%,26.4,33,30,126.1,-19.6
558,TEN,Gunnar Helm,TE,17,41.12,10,-16%,0%,30.3,21,38,114.9,-19.6
559,TB,Jamel Dean,DB,17,,9,-20%,0%,53,67,76,98.3,-19.6
560,NE,Marcus Jones,DB,17,,14,46%,0%,53.2,,76,98.8,-19.6
561,WAS,Jonathan Jones,DB,17,,12,-22%,0%,53,,76,98.4,-19.6
562,KC,Kristian Fulton,DB,17,,10,-29%,0%,52.4,65,75,101,-19.6
563,NYJ,Allen Lazard,WR,17,26.02,9,-3%,29%,51.5,76,69,127.1,-19.7
564,IND,Jaylon Carlies,DB,17,,11,12%,0%,34.9,,70,122.3,-19.7
565,DEN,Jaleel McLaughlin,RB,17,20.01,12,-1%,21%,39.1,32,50,65.2,-19.8
566,DEN,Devaughn Vele,WR,17,30.08,12,-5%,0%,47.7,63,71,135.3,-19.8
567,WAS,Jeremy McNichols,RB,17,68.03,12,2%,0%,26.9,23,34,107.7,-19.9
568,IND,Khalil Herbert,RB,17,28.04,11,11%,82%,24.8,49,29,100.8,-20.1
569,NO,Cam Akers,RB,17,39.05,11,12%,20%,35.7,30,44,74,-20.2
570,CIN,Geno Stone,DB,17,,10,0%,0%,46.7,79,72,107.9,-20.3
571,CAR,Michael Jackson,DB,17,,14,0%,0%,46.6,4,72,107.6,-20.3
572,SF,Ji'ayir Brown,DB,17,,14,-8%,0%,51.8,81,74,99.8,-20.5
573,DAL,KaVontae Turpin,WR,17,34.09,10,8%,0%,56.2,47,75,123.7,-20.6
574,TEN,Elic Ayomanor,WR,17,22.1,10,-15%,0%,51.1,44,64,147,-20.6
575,CAR,Tommy Tremble,TE,17,42.08,14,20%,0%,30.4,36,34,101.5,-20.7
576,HOU,Brevin Jordan,TE,17,59.08,6,-7%,32%,23.1,28,31,116.9,-20.8
577,JAC,LeQuint Allen,RB,17,33.02,8,22%,0%,20.5,13,27,123.2,-20.9
578,BUF,Maxwell Hairston,DB,17,,7,-76%,0%,43.1,,72,107.7,-20.9
579,CIN,Demetrius Knight Jr.,LB,17,,10,0%,0%,68.5,,91,132.5,-20.9
580,CHI,Jonathan Owens,DB,17,,5,21%,0%,36.3,,73,108.9,-21.1
581,SF,Richie Grant,DB,17,,14,-8%,0%,36.6,45,73,109.7,-21.1
582,HOU,Chauncey Gardner-Johnson,DB,17,,6,11%,0%,51.1,88,68,109.1,-21.4
583,CAR,Jaycee Horn,DB,17,,14,0%,42%,51.5,76,74,95.7,-21.4
584,DAL,Trevon Diggs,DB,17,,10,29%,31%,45.7,76,70,109.1,-21.4
585,WAS,Chris Rodriguez,RB,17,44.07,12,2%,38%,21.4,28,27,101.4,-21.5
586,SEA,DeMarcus Lawrence,DL,17,,8,36%,0%,35.4,65,54,65.3,-21.5
587,CAR,Mitchell Evans,TE,17,47.01,14,20%,0%,23.2,14,31,120.7,-21.5
588,HOU,Dameon Pierce,RB,17,32.02,6,-16%,35%,23,40,27,94.6,-21.6
589,DET,Tim Patrick,WR,17,45.06,8,7%,18%,53.2,43,71,127.6,-21.6
590,SEA,Damien Martinez,RB,17,28.11,8,-3%,0%,20.1,20,24,111.1,-21.6
591,DET,Terrion Arnold,DB,17,,8,-62%,0%,35.9,84,72,107.6,-22
592,ARI,Max Melton,DB,17,,8,-14%,0%,47.4,76,73,98.5,-22
593,JAC,Jourdan Lewis,DB,17,,8,1%,0%,47.4,64,73,98.5,-22
594,NE,Keion White,DL,17,,14,46%,0%,26.5,30,44,88.4,-22.1
595,TEN,Kalel Mullings,RB,17,40.08,10,10%,0%,18.1,18,24,108.6,-22.2
596,DET,Za'Darius Smith,DL,17,,8,-62%,0%,34.5,67,46,78.1,-22.2
597,DAL,Sam Williams,DL,17,,10,29%,0%,32.1,,43,85.7,-22.2
598,TEN,Josh Whyle,TE,17,37.06,10,-16%,0%,24.1,37,30,99.9,-22.3
599,SF,Demarcus Robinson,WR,17,24.11,14,-11%,0%,42.7,59,50,160.7,-22.3
600,DEN,Ja'Quan McMillian,DB,17,,12,-33%,0%,50.1,,72,96.6,-22.3
601,KC,Bryan Cook,DB,17,,10,-29%,0%,51.2,67,73,95,-22.3
602,MIN,Theo Jackson,DB,17,,6,-7%,0%,75.1,,75,75.1,-22.3
603,NO,Clyde Edwards-Helaire,RB,17,42.12,11,12%,40%,23.6,17,36,80,-22.4
604,BUF,A.J. Epenesa,DL,17,,7,-76%,0%,37.4,46,50,67.3,-22.4
605,DAL,Jalen Tolbert,WR,17,29.02,10,8%,0%,40.8,79,63,119.2,-22.5
606,JAC,Parker Washington,WR,17,39.03,8,14%,0%,59.8,47,66,123,-22.5
607,KC,Jalen Royals,WR,17,22.02,10,1%,0%,40.3,49,52,163.5,-22.5
608,NYJ,Ahmad Gardner,DB,17,,9,3%,0%,48.8,76,70,101.1,-22.5
609,WAS,Dorance Armstrong,DL,16,,12,-22%,0%,37.7,74,47,84.8,-22.8
610,TEN,Van Jefferson,WR,17,62.1,10,-15%,29%,56.1,40,67,124.3,-22.8
611,ARI,Michael Carter,RB,17,59.01,8,10%,30%,16.4,18,27,95.8,-22.9
612,WAS,Daron Payne,DL,16,,12,-22%,13%,37.2,54,46,88.3,-22.9
613,PHI,Kelee Ringo,DB,17,,9,-26%,0%,74,,74,74,-23.1
614,MIA,Chop Robinson,DL,17,,12,33%,0%,34.3,56,49,68.5,-23.2
615,DAL,Luke Schoonmaker,TE,17,40.09,10,-16%,29%,23,30,34,87.6,-23.4
616,HOU,Jimmie Ward,DB,17,,6,11%,0%,43.7,74,65,111,-23.5
617,NYG,Graham Gano,K,17,29.01,14,-4%,0%,117.2,113,121,160.7,-23.5
618,CIN,Drew Sample,TE,17,36.08,10,27%,24%,32.5,16,40,75.3,-23.6
